#Day.Hour #Vmag% #Park%
17.00 42.09 32.38
17.01 42.24 32.38
17.02 42.51 32.38
17.03 42.67 32.38
17.04 42.79 32.38
17.05 42.9 32.38
17.06 42.84 32.38
17.07 42.55 32.38
17.08 42.06 32.38
17.09 41.81 32.38
17.10 41.56 32.38
17.11 41.45 32.38
17.12 41.48 32.38
17.13 41.55 32.38
17.14 41.58 32.38
17.15 41.52 32.38
17.16 41.55 32.38
17.17 41.61 32.38
17.18 41.7 32.38
17.19 41.77 32.38
17.20 41.84 32.38
17.21 41.91 32.38
17.22 42.01 32.38
17.23 42.14 32.38
18.00 42.24 32.49
18.01 42.29 32.46
18.02 42.4 32.46
18.03 42.51 32.46
18.04 42.6 32.46
18.05 42.68 32.46
18.06 42.74 32.46
18.07 42.7 32.46
18.08 42.63 32.46
18.09 42.52 32.46
18.10 42.41 32.46
18.11 42.34 32.46
18.12 42.26 32.46
18.13 42.18 32.46
18.14 42.1 32.46
18.15 42.03 32.46
18.16 41.99 32.46
18.17 41.93 32.46
18.18 41.87 32.46
18.19 41.84 32.46
18.20 41.84 32.46
18.21 41.85 32.46
18.22 41.87 32.46
18.23 41.9 32.46
19.00 41.93 33.43
19.01 41.97 33.43
19.02 42.02 33.43
19.03 42.06 33.43
19.04 42.11 33.43
19.05 42.14 33.43
19.06 42.16 33.43
19.07 42.15 33.43
19.08 42.1 33.43
19.09 42.07 33.43
19.10 42.03 33.43
19.11 42.0 33.43
19.12 41.96 33.43
19.13 41.91 33.43
19.14 41.87 33.43
19.15 41.83 33.43
19.16 41.77 33.43
19.17 41.72 33.43
19.18 41.67 33.43
19.19 41.64 33.43
19.20 41.61 33.43
19.21 41.57 33.43
19.22 41.53 33.43
19.23 41.52 33.43
20.00 41.5 34.08
20.01 41.49 34.08
20.02 41.49 34.08
20.03 41.49 34.08
20.04 41.48 34.08
20.05 41.49 34.08
20.06 41.48 34.08
20.07 41.47 34.08
20.08 41.44 34.08
20.09 41.45 34.08
20.10 41.44 34.08
20.11 41.45 34.08
20.12 41.46 34.08
20.13 41.47 34.08
20.14 41.47 34.08
20.15 41.48 34.08
20.16 41.47 34.08
20.17 41.47 34.08
20.18 41.48 34.08
20.19 41.49 34.08
20.20 41.51 34.08
20.21 41.54 34.08
20.22 41.56 34.08
20.23 41.59 34.08
21.00 41.62 34.07
21.01 41.65 34.07
21.02 41.68 34.07
21.03 41.7 34.07
21.04 41.74 34.07
21.05 41.77 34.07
21.06 41.81 34.07
21.07 41.82 34.07
21.08 41.82 34.07
21.09 41.83 34.07
21.10 41.82 34.07
21.11 41.82 34.07
21.12 41.81 34.07
21.13 41.79 34.07
21.14 41.78 34.07
21.15 41.77 34.07
21.16 41.76 34.07
21.17 41.74 34.07
21.18 41.73 34.07
21.19 41.72 34.07
21.20 41.72 34.07
