station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,8,4,12,2022,01-16,17:53
002 Com�die,2,22,24,2022,01-16,17:53
003 Esplanade,5,27,32,2022,01-16,17:53
004 H�tel de Ville,12,4,16,2022,01-16,17:53
005 Corum,8,4,12,2022,01-16,17:53
006 Place Albert 1er - St Charles,8,23,31,2022,01-16,17:53
007 Foch,1,7,8,2022,01-16,17:53
008 Halles Castellane,0,12,12,2022,01-16,17:53
009 Observatoire,3,5,8,2022,01-16,17:53
010 Rondelet,3,13,16,2022,01-16,17:53
011 Plan Cabanes,4,8,12,2022,01-16,17:53
012 Boutonnet,1,11,12,2022,01-16,17:53
013 Emile Combes,3,5,8,2022,01-16,17:53
014 Beaux-Arts,5,3,8,2022,01-16,17:53
015 Les Aubes,4,4,8,2022,01-16,17:53
016 Antigone centre,10,6,16,2022,01-16,17:53
017 M�diath�que Emile Zola,3,13,16,2022,01-16,17:53
018 Nombre d'Or,14,2,16,2022,01-16,17:53
019 Louis Blanc,7,9,16,2022,01-16,17:53
020 Gambetta,1,7,8,2022,01-16,17:53
021 Port Marianne,14,2,16,2022,01-16,17:53
022 Clemenceau,3,9,12,2022,01-16,17:53
023 Les Arceaux,3,13,16,2022,01-16,17:53
024 Cit� Mion,4,4,8,2022,01-16,17:53
025 Nouveau Saint-Roch,5,3,8,2022,01-16,17:53
026 Renouvier,0,8,8,2022,01-16,17:53
027 Odysseum,5,3,8,2022,01-16,17:53
028 Saint-Denis,4,4,8,2022,01-16,17:53
029 Richter,6,10,16,2022,01-16,17:53
030 Charles Flahault,7,1,8,2022,01-16,17:53
031 Voltaire,0,8,8,2022,01-16,17:53
032 Pr�s d'Ar�nes,5,3,8,2022,01-16,17:53
033 Garcia Lorca,6,2,8,2022,01-16,17:53
034 Vert Bois,0,16,16,2022,01-16,17:53
035 Malbosc,1,7,8,2022,01-16,17:53
036 Occitanie,5,27,32,2022,01-16,17:53
037 FacdesSciences,12,12,24,2022,01-16,17:53
038 Fac de Lettres,6,10,16,2022,01-16,17:53
039 Aiguelongue,3,5,8,2022,01-16,17:53
040 Jeu de Mail des Abb�s,5,3,8,2022,01-16,17:53
041 Eurom�decine,1,7,8,2022,01-16,17:53
042 Marie Caizergues,2,6,8,2022,01-16,17:53
043 Sabines,3,5,8,2022,01-16,17:53
044 Celleneuve,4,4,8,2022,01-16,17:53
045 Jardin de la Lironde,5,3,8,2022,01-16,17:53
046 P�re Soulas,2,6,8,2022,01-16,17:53
047 Place Viala,1,7,8,2022,01-16,17:53
